date,publish_count
2019-04,447
2019-05,453
2019-06,453
2019-07,453
2019-08,455
2019-09,456
2019-10,457
2019-11,457
2019-12,457
2020-01,459
2020-02,459
2020-03,460
2020-04,1022
2020-05,1023
2020-06,1028
2020-07,1030
2020-08,1031
2020-09,1034
2020-10,1034
2020-11,1039
2020-12,1040
2021-01,1040
2021-02,1041
2021-03,1060
2021-04,1066
2021-05,1079
2021-06,1079
2021-07,1081
2021-08,1083
2021-09,1100
2021-10,1136
2021-11,1196
2021-12,1200
2022-01,1203
2022-02,1203
2022-03,1203
2022-04,1204
2022-05,1215
2022-06,1219
2022-07,1235
2022-08,1238
2022-09,1239
2022-10,1243
2022-11,1245
2022-12,1278
2023-01,1278
2023-02,1284
2023-03,1297
2023-04,1301
2023-05,1303
2023-06,1303
2023-07,1304
2023-08,1306
2023-09,1306
2023-10,1307
2023-11,1307
2023-12,1308
2024-01,1308
2024-02,1310
2024-03,1311
2024-04,1316
2024-05,1317
