event,date,status,department,institution,categories
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,College of Environmental Design,UC Berkeley,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Library,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Faculty,Computer Science and Engineering,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Library,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Library,UC Berkeley,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Department of Geography,University of Ghana,NA
GIS Week,2020-11-17T00:00:00Z,Faculty,Chemical and Biological Engineering,University of New Mexico,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Library,UC Berkeley,NA
GIS Week,2020-11-17T00:00:00Z,Faculty,Charles E. Young Research Library,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,NA,NA,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,UCLA Library Data Science Center,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,"R&R, Rosenfeld Library & YRL",UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Faculty,Information Studies,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Library,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,"UCLA Library, International Studies",UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,University Library / Spatial Analysis and Research Center,UC Merced,NA
GIS Week,2020-11-17T00:00:00Z,NA,NA,UC Merced,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Earth & Planetary Sciences,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Alumni,Masters in Anthropology & Graduate Certificate in GIS,Cal State LA,NA
GIS Week,2020-11-17T00:00:00Z,NA,NA,NA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,IDRE,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Research IT Services,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,NA,NA,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,GIS Profession,Environmental,UC Berkeley,NA
GIS Week,2020-11-17T00:00:00Z,Staff,IoES,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Psychology,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Postdoc,Qualcomm Institute,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,Faculty,Anesthesiology,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,MDP,UC Berkeley,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,MDP,UC Berkeley,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Public Policy,UC Berkeley,NA
GIS Week,2020-11-17T00:00:00Z,Faculty,Urban Studies and Planning,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,City and Regional Planning,UC Berkeley,NA
GIS Week,2020-11-17T00:00:00Z,Alumni,Geography,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Guest,Guest,UC Berkeley,NA
GIS Week,2020-11-17T00:00:00Z,NA,NA,NA,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Anthropology,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,SIO,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Environmental Systems,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Agricultural Operations,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Information Studies,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Planning on a Masters,Sociology,UC Irvine,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Urban Studies & Planning,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Earth and Planetary Sciences,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Earth Sciences,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,NA,NA,NA,NA
GIS Week,2020-11-17T00:00:00Z,Interested member of the public,NA,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Postdoc,Laboratory Medicine,UC San Francisco,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Library,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,American Indian Studies Center,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Research Partner,Water Institute,California Department of Water Resources,NA
GIS Week,2020-11-17T00:00:00Z,USC,Planning,State of CA,NA
GIS Week,2020-11-17T00:00:00Z,Alumni,Geography,UC Berkeley,NA
GIS Week,2020-11-17T00:00:00Z,Alumni,Plant Sciences/Geography,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,NA,NA,Public Service Employee,NA
GIS Week,2020-11-17T00:00:00Z,NA,NA,NA,NA
GIS Week,2020-11-17T00:00:00Z,GIS Analyst,California Coastal Commission,California Coastal Commission,NA
GIS Week,2020-11-17T00:00:00Z,NA,NA,NA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,California State Parks,State of CA,NA
GIS Week,2020-11-17T00:00:00Z,Graduated,Parks & Recreation,State of CA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,School of Medicine Deans Office,UC San Francisco,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,College of Natural Resources,UC Berkeley,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Geog,State of CA,NA
GIS Week,2020-11-17T00:00:00Z,State employee,CA Dept. of Fish and Wildlife,State of CA,NA
GIS Week,2020-11-17T00:00:00Z,Alumni,LAWR,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Pacific States Marine Fisheries Commission,GIS,Pacific States Marine Fisheries Commission,NA
GIS Week,2020-11-17T00:00:00Z,Research Data Analyst,Wildfire Prevention and Engineering,CAL FIRE,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Real Estate,UC San Francisco,NA
GIS Week,2020-11-17T00:00:00Z,Alumni,Earth and Planetary Sciences,DWR,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,CAL FIRE,CAL FIRE,NA
GIS Week,2020-11-17T00:00:00Z,DWR Staff,Division of Environmental Services,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,NA,NA,NA,NA
GIS Week,2020-11-17T00:00:00Z,Predictive Services Chief,Department of Forestry and Fire Protection,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Civil Engineering,CSUS,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Center of Excellence on UAS Safety,UC Merced,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Geography,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Alumni,Environmental Science and Policy,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,State Government,Environmental Studies,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,International Relations,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Alumni,Environmental Studies,UC Santa Cruz,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Environmental Studies,UC Santa Cruz,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Strategic Communications,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,UCLA Geography,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,ENVS/EEB,UC Santa Cruz,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Environmental Studies,UC Santa Cruz,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Geography,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Strategic Communications,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Center for Information Technology Research in the Interest of Society (CITRIS),UC Merced,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Continuing and Professional Education,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,ENVS,UC Santa Cruz,NA
GIS Week,2020-11-17T00:00:00Z,Professional,Fire,Cal poly,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Community and Global Health,Claremont Graduate University,NA
GIS Week,2020-11-17T00:00:00Z,Postdoc,LAWR/JMIE,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Staff,IET Academic Technology Services,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Environmental Studies/Earth Science,UC Santa Cruz,NA
GIS Week,2020-11-17T00:00:00Z,NA,NA,UC Santa Cruz,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UCLA,NA
