Card ID,Card Name,department,ucla_affiliation,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete,DSC Contact
65ac0c414b7220aaf9633043,DSC/DataSquad combined jekyll website,DSC,Staff,https://trello.com/c/UBq8wUbX/207-dsc-datasquad-combined-jekyll-website,"Need a DSC/DataSquad website for:

1. blogging about projects or how to use tools
   1. can be either from DataSquad or DSC teams
2. Documentation for resources like UCLA Dataverse
3. Info on members, both past and present
4. how to get help or meet with us

We need to find a new Jekyll theme that will accomodate all those needs.

We’ll need to eventually migrate content from DataSquad.

Will be located: `ucla-data-science-center.github.io` and needs a repo named: ucla-data-science-center in [https://github.com/ucla-data-science-center](https://github.com/ucla-data-science-center ""smartCard-inline"")",,,,0,,0,0,0,0,2024-03-07T21:40:54.854Z,635ae312187ea10240442311,Future Projects/Ideas,611df19aae2e1401588dbc27,UCLA DataSquad Projects,FALSE,,FALSE,Tim
664fb52d090530b2bf15e987,Google Scholar PDF reader research,DSC,Staff,https://trello.com/c/sMT5evnF/237-google-scholar-pdf-reader-research,"[Google recently released](https://scholar.googleblog.com/2024/03/supercharge-your-pdf-reading-follow.html ""‌"") a chrome plug in that generates an outline for research papers.

The task would be to [install the plugin](https://chromewebstore.google.com/detail/google-scholar-pdf-reader/dahenjhkoodjbpjheillcadbppiidmhp?utm_medium=blog&utm_source=scholar.googleblog.com&utm_campaign=launch ""‌"") and investigate the tools they used to generate the plugin. An [extension decompiler](https://chromewebstore.google.com/detail/chrome-extension-source-v/jifpbeccnghkjeaalbbjmodiffmgedin?hl=en ""‌"") will allow a peek at the underlying code (albeit messy).

I think this is using [pdf.js ](https://github.com/mozilla/pdf.js ""‌"")under the covers, this ticket would be to poke through the code, try to verify that and the functions it is using. The approach seems similar [to this example.](https://medium.com/@csofiamsousa/creating-a-table-of-contents-with-pdf-js-4a4316472fff ""‌"")

A starting test would be to pick a random paper that is not too complex, generate outline using the google extension, and see if can replicate using local javascript and pdf.js.",LLM-related (green_light),,,0,,0,0,0,0,2024-05-29T18:57:39.895Z,611df19aae2e1401588dbc29,To Be Assigned/Started,611df19aae2e1401588dbc27,UCLA DataSquad Projects,FALSE,,FALSE,
6658fba342c1991fbf6e91f2,Sentiment analysis of Weibo posts pre/post COVID-19 outbreak,DSC,Graduate Student,https://trello.com/c/SFJB6AY1/238-sentiment-analysis-of-weibo-posts-pre-post-covid-19-outbreak,"Aiya Wang is a senior doing research analyzing sentiment of Weibo posts (has scraped 200k posts) before 70 days before and after the outbreak of COVID-19 in 2020. Notes can be found here: [https://docs.google.com/document/d/1vDcN-E4JUSjkc4op7Fm4vZTSlHety1GAp8YZNniUDsY/edit](https://docs.google.com/document/d/1vDcN-E4JUSjkc4op7Fm4vZTSlHety1GAp8YZNniUDsY/edit ""smartCard-inline"")

Aiya has pulled in and done some cleaning of the data in R, though is open to learning Python to do the analysis.

‌

Suggested trying the following packages:

- [Example: Chinese text analysis • quanteda](https://quanteda.io/articles/pkgdown/examples/chinese.html ""‌"") 
  - [GitHub - quanteda/quanteda: An R package for the Quantitative Analysis of Textual Data](https://github.com/quanteda/quanteda ""‌"") 
- [https://github.com/qinwf/jiebaR](https://github.com/qinwf/jiebaR ""smartCard-inline"")",,,,0,,0,0,0,0,2024-05-30T22:24:15.039Z,611df19aae2e1401588dbc29,To Be Assigned/Started,611df19aae2e1401588dbc27,UCLA DataSquad Projects,FALSE,,FALSE,
65e92c2a9ff3514984740f25,Dataverse dashboard,DSC,Staff,https://trello.com/c/84Uv8MnP/222-dataverse-dashboard,Dashboard for Dataverse statistics. I can pull all the information using the Dataverse API,,"jamiejamison6, timdennis23",,0,,0,0,0,0,2024-03-07T21:41:15.596Z,611df19aae2e1401588dbc29,To Be Assigned/Started,611df19aae2e1401588dbc27,UCLA DataSquad Projects,FALSE,,FALSE,
65ea36b8f09e77277b5d364a,game design on data literacy and LLM,Cotsen,Staff,https://trello.com/c/xgRwmz0f/224-game-design-on-data-literacy-and-llm,"The objective is to create a game that utilizes Large Language Models (LLMs) and technologies similar to ChatGPT to educate and assess students on data literacy skills.

Work with Deidre Brin Digital Archaeology Lab and Data Publication Director [https://ucla.slack.com/team/W01AGU6FXFU](https://ucla.slack.com/team/W01AGU6FXFU ""‌"")

email [dal@ioa.ucla.edu](mailto:dal@ioa.ucla.edu ""‌"")

Update:
Meeting with Deidre Tuesday April 30th.

Notes for this project: [https://docs.google.com/document/d/1G1_8SBLeId6zi2t0tcnTa9R_l6yte-WGeSlkjeRgDis/edit](https://docs.google.com/document/d/1G1_8SBLeId6zi2t0tcnTa9R_l6yte-WGeSlkjeRgDis/edit ""smartCard-inline"")

Google Folder for this project: [https://drive.google.com/drive/folders/1pnHa-0L7wLonUN1en7X5TlroHDcORBKi?usp=drive_link](https://drive.google.com/drive/folders/1pnHa-0L7wLonUN1en7X5TlroHDcORBKi?usp=drive_link ""smartCard-inline"")",LLM-related (green_light),"aimeexu2024, lawrence_tlee, lukashager7",,0,,0,0,0,2,2024-05-29T18:57:32.324Z,611df19aae2e1401588dbc29,To Be Assigned/Started,611df19aae2e1401588dbc27,UCLA DataSquad Projects,FALSE,,FALSE,Tim Dennis
6619b576d97b5506e6dc4026,p-value calculation for patient symptoms,DSC,Graduate Student,https://trello.com/c/NSyT2TAY/228-p-value-calculation-for-patient-symptoms,"We have a request for helping with calculating p-values for disease related symptoms.

Relevant links:

Folder:

[https://drive.google.com/drive/folders/1VOa8KvbNESNdOWLz8SJnY6jB46kcYQg2](https://drive.google.com/drive/folders/1VOa8KvbNESNdOWLz8SJnY6jB46kcYQg2 ""smartCard-inline"")

Paper:
[https://docs.google.com/document/d/12_iZoql11VigD8X7BSI1sAeecjfv7B7e/edit](https://docs.google.com/document/d/12_iZoql11VigD8X7BSI1sAeecjfv7B7e/edit ""smartCard-inline"")
Relevant portion in paper: “Treatment-related adverse events in the study population”

I pulled out the data and reformatted for easier reading into python/R
[https://docs.google.com/spreadsheets/d/1R9zR1QDENmGsWM0OVe2eOZfRstBJ5RdWnSvXZgv5Ug4/edit#gid=0](https://docs.google.com/spreadsheets/d/1R9zR1QDENmGsWM0OVe2eOZfRstBJ5RdWnSvXZgv5Ug4/edit#gid=0 ""smartCard-inline"")

I set up a notebook with the data
[https://colab.research.google.com/drive/1aZPyz5XXlIIxMjKl7VaCuSjV_boUc2jz](https://colab.research.google.com/drive/1aZPyz5XXlIIxMjKl7VaCuSjV_boUc2jz ""smartCard-inline"")
If you are testing, please make a copy of this notebook or add cells at bottom rather than changing since we don’t have source control for collab

The request is to help compute adverse event/reaction p-values similar to page 3 in [https://www.lexjansen.com/pharmasug/2011/SP/PharmaSUG-2011-SP07.pdf](https://www.lexjansen.com/pharmasug/2011/SP/PharmaSUG-2011-SP07.pdf ""‌"")

This example is in SAS, but I was hoping to convert to R or python","DS Project (green), statistics (yellow_light)",kristianallen3,,0,,0,0,0,1,2024-04-23T22:55:20.476Z,611df19aae2e1401588dbc29,To Be Assigned/Started,611df19aae2e1401588dbc27,UCLA DataSquad Projects,FALSE,,FALSE,
6622adc60b83c0ef3cd12dc9,JS layout in Qualtrics,DSC,Graduate Student,https://trello.com/c/DAvOQpq3/230-js-layout-in-qualtrics,"> Hi everyone, we got an email from a PhD candidate in Education looking for assistance using Javascript to create custom layouts in Qualtrics. Does anyone have ideas about whether to refer this person?",,timdennis23,,0,,0,0,0,4,2024-05-31T19:28:08.641Z,611df19aae2e1401588dbc29,To Be Assigned/Started,611df19aae2e1401588dbc27,UCLA DataSquad Projects,FALSE,,FALSE,
662ada04c285040ae022ad93,Web scraping for Orbis,DSC,Graduate Student,https://trello.com/c/pwkTL8O1/234-web-scraping-for-orbis,"We had a request to scrape data from Orbis, a financial database available through [anderson databases ](https://www.anderson.ucla.edu/rosenfeld-library/databases/business-databases-by-name#o ""‌"")(ctrl-f for Orbis, have to be on vpn or on campus to access)

Try to modify this script to:

1. actually work (would need to strip out login info, CaptialIQ stuff, etc…)
2. Modify to scrape larger data sets (for example, say every company in West Virginia)

[https://github.com/ekcm/finance-site-web-scraper](https://github.com/ekcm/finance-site-web-scraper ""smartCard-inline"")",,"kristianallen3, lawrence_tlee",,0,,0,0,0,4,2024-05-01T01:20:40.619Z,611df19aae2e1401588dbc29,To Be Assigned/Started,611df19aae2e1401588dbc27,UCLA DataSquad Projects,FALSE,,FALSE,
662ad8871b2b66b41f78aea1,Including URI Fragments in DataSquad Website URLs,DSC,Staff,https://trello.com/c/MRDSurRb/233-including-uri-fragments-in-datasquad-website-urls,"When I hyperlink portions on our [website](https://ucla-datasquad.github.io/ ""‌""), I notice all tabs on our website ([About](https://ucla-datasquad.github.io/ ""‌""), [Services](https://ucla-datasquad.github.io/ ""‌""), [Contact](https://ucla-datasquad.github.io/ ""‌""), [Blog](https://ucla-datasquad.github.io/ ""‌""), etc) have the same hyperlink. I want to look into including [Uniform Resource Identifiers](https://www.google.com/search?q=uri+meaning&oq=uri&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7Mg8IARBFGDkYgwEYsQMYgAQyEAgCEC4YgwEYsQMYgAQYigUyDQgDEAAYgwEYsQMYgAQyCggEEAAYsQMYgAQyBggFEEUYPDIGCAYQRRg9MgYIBxBFGDzSAQgyMzYyajBqN6gCALACAA&sourceid=chrome&ie=UTF-8 ""‌"") (URIs), even though all our links technically go to the same name, similar to the [UC Love Data Week website](https://uc-love-data-week.github.io/ ""‌"") that utilizes the same website template as us.",,aimeexu2024,,0,,0,0,0,0,2024-04-25T23:41:30.688Z,611df19aae2e1401588dbc29,To Be Assigned/Started,611df19aae2e1401588dbc27,UCLA DataSquad Projects,FALSE,,FALSE,
6633dd5f6e4f71525f151f76,extracting tables from pdfs,DSC,Graduate Student,https://trello.com/c/acSyzt2H/235-extracting-tables-from-pdfs,"Goal: convert tables in PDFs to CSVs. See the example below. There are hundreds of these PDFs, so processing them using a script would be ideal.

Things I’ve tried:

- [Tabula](https://tabula-py.readthedocs.io/en/latest/ ""‌""): doesn’t really work well because the tables is not in the most traditional table format ([Google Colab notebook](https://colab.research.google.com/drive/1SBmVJ5J1zpj88dXfi-DeXaM9ZFVD_1ea?usp=sharing ""‌""))
- [Adobe](https://www.adobe.com/acrobat/online/pdf-to-excel.html ""‌""): similar reuslt as tabula",LLM-related (green_light),,,3,"https://trello.com/1/cards/6633dd5f6e4f71525f151f76/attachments/6633dd7afc9380bbc38baa47/download/coal_mine_census.pdf, https://trello.com/1/cards/6633dd5f6e4f71525f151f76/attachments/6633e2c3ba026919744e8647/download/Screenshot_2024-05-02_at_12.00.13_PM.png, https://trello.com/1/cards/6633dd5f6e4f71525f151f76/attachments/6633e2de0ab43e274d55f7f3/download/Screenshot_2024-05-02_at_12.00.43_PM.png",0,0,0,1,2024-05-29T18:55:48.120Z,611df19aae2e1401588dbc2a,In-Progress Projects,611df19aae2e1401588dbc27,UCLA DataSquad Projects,FALSE,,FALSE,Zhiyuan Yao
